siteId,Lon,Lat,Height
1787_5408,1786971.2195,5408175.8316,0
1788_5408,1787971.2195,5408175.8316,0
1789_5408,1788971.2195,5408175.8316,0
1790_5408,1789971.2195,5408175.8316,0
1791_5408,1790971.2195,5408175.8316,0
1792_5408,1791971.2195,5408175.8316,0
1793_5408,1792971.2195,5408175.8316,0
1794_5408,1793971.2195,5408175.8316,0
1795_5408,1794971.2195,5408175.8316,0
1796_5408,1795971.2195,5408175.8316,0
1797_5408,1796971.2195,5408175.8316,0
1798_5408,1797971.2195,5408175.8316,0
1799_5408,1798971.2195,5408175.8316,0
1800_5408,1799971.2195,5408175.8316,0
1801_5408,1800971.2195,5408175.8316,0
1802_5408,1801971.2195,5408175.8316,0
1803_5408,1802971.2195,5408175.8316,0
1804_5408,1803971.2195,5408175.8316,0
1805_5408,1804971.2195,5408175.8316,0
1806_5408,1805971.2195,5408175.8316,0
1807_5408,1806971.2195,5408175.8316,0
1808_5408,1807971.2195,5408175.8316,0
1809_5408,1808971.2195,5408175.8316,0
1810_5408,1809971.2195,5408175.8316,0
1811_5408,1810971.2195,5408175.8316,0
1812_5408,1811971.2195,5408175.8316,0
1813_5408,1812971.2195,5408175.8316,0
1814_5408,1813971.2195,5408175.8316,0
1815_5408,1814971.2195,5408175.8316,0
1816_5408,1815971.2195,5408175.8316,0
1817_5408,1816971.2195,5408175.8316,0
1818_5408,1817971.2195,5408175.8316,0
1819_5408,1818971.2195,5408175.8316,0
1820_5408,1819971.2195,5408175.8316,0
1786_5409,1785971.2195,5409175.8316,0
1787_5409,1786971.2195,5409175.8316,0
1788_5409,1787971.2195,5409175.8316,0
1789_5409,1788971.2195,5409175.8316,0
1790_5409,1789971.2195,5409175.8316,0
1791_5409,1790971.2195,5409175.8316,0
1792_5409,1791971.2195,5409175.8316,0
1793_5409,1792971.2195,5409175.8316,0
1794_5409,1793971.2195,5409175.8316,0
1795_5409,1794971.2195,5409175.8316,0
1796_5409,1795971.2195,5409175.8316,0
1797_5409,1796971.2195,5409175.8316,0
1798_5409,1797971.2195,5409175.8316,0
1799_5409,1798971.2195,5409175.8316,0
1800_5409,1799971.2195,5409175.8316,0
1801_5409,1800971.2195,5409175.8316,0
1802_5409,1801971.2195,5409175.8316,0
1803_5409,1802971.2195,5409175.8316,0
1804_5409,1803971.2195,5409175.8316,0
1805_5409,1804971.2195,5409175.8316,0
1806_5409,1805971.2195,5409175.8316,0
1807_5409,1806971.2195,5409175.8316,0
1808_5409,1807971.2195,5409175.8316,0
1809_5409,1808971.2195,5409175.8316,0
1810_5409,1809971.2195,5409175.8316,0
1811_5409,1810971.2195,5409175.8316,0
1812_5409,1811971.2195,5409175.8316,0
1813_5409,1812971.2195,5409175.8316,0
1814_5409,1813971.2195,5409175.8316,0
1815_5409,1814971.2195,5409175.8316,0
1816_5409,1815971.2195,5409175.8316,0
1817_5409,1816971.2195,5409175.8316,0
1818_5409,1817971.2195,5409175.8316,0
1819_5409,1818971.2195,5409175.8316,0
1820_5409,1819971.2195,5409175.8316,0
1821_5409,1820971.2195,5409175.8316,0
1786_5410,1785971.2195,5410175.8316,0
1787_5410,1786971.2195,5410175.8316,0
1788_5410,1787971.2195,5410175.8316,0
1789_5410,1788971.2195,5410175.8316,0
1790_5410,1789971.2195,5410175.8316,0
1791_5410,1790971.2195,5410175.8316,0
1792_5410,1791971.2195,5410175.8316,0
1793_5410,1792971.2195,5410175.8316,0
1794_5410,1793971.2195,5410175.8316,0
1795_5410,1794971.2195,5410175.8316,0
1796_5410,1795971.2195,5410175.8316,0
1797_5410,1796971.2195,5410175.8316,0
1798_5410,1797971.2195,5410175.8316,0
1799_5410,1798971.2195,5410175.8316,0
1800_5410,1799971.2195,5410175.8316,0
1801_5410,1800971.2195,5410175.8316,0
1802_5410,1801971.2195,5410175.8316,0
1803_5410,1802971.2195,5410175.8316,0
1804_5410,1803971.2195,5410175.8316,0
1805_5410,1804971.2195,5410175.8316,0
1806_5410,1805971.2195,5410175.8316,0
1807_5410,1806971.2195,5410175.8316,0
1808_5410,1807971.2195,5410175.8316,0
1809_5410,1808971.2195,5410175.8316,0
1810_5410,1809971.2195,5410175.8316,0
1811_5410,1810971.2195,5410175.8316,0
1812_5410,1811971.2195,5410175.8316,0
1813_5410,1812971.2195,5410175.8316,0
1814_5410,1813971.2195,5410175.8316,0
1815_5410,1814971.2195,5410175.8316,0
1816_5410,1815971.2195,5410175.8316,0
1817_5410,1816971.2195,5410175.8316,0
1818_5410,1817971.2195,5410175.8316,0
1819_5410,1818971.2195,5410175.8316,0
1820_5410,1819971.2195,5410175.8316,0
1821_5410,1820971.2195,5410175.8316,0
1822_5410,1821971.2195,5410175.8316,0
1760_5411,1759971.2195,5411175.8316,0
1786_5411,1785971.2195,5411175.8316,0
1787_5411,1786971.2195,5411175.8316,0
1788_5411,1787971.2195,5411175.8316,0
1789_5411,1788971.2195,5411175.8316,0
1790_5411,1789971.2195,5411175.8316,0
1791_5411,1790971.2195,5411175.8316,0
1792_5411,1791971.2195,5411175.8316,0
1793_5411,1792971.2195,5411175.8316,0
1794_5411,1793971.2195,5411175.8316,0
1795_5411,1794971.2195,5411175.8316,0
1796_5411,1795971.2195,5411175.8316,0
1797_5411,1796971.2195,5411175.8316,0
1798_5411,1797971.2195,5411175.8316,0
1799_5411,1798971.2195,5411175.8316,0
1800_5411,1799971.2195,5411175.8316,0
1801_5411,1800971.2195,5411175.8316,0
1802_5411,1801971.2195,5411175.8316,0
1803_5411,1802971.2195,5411175.8316,0
1804_5411,1803971.2195,5411175.8316,0
1805_5411,1804971.2195,5411175.8316,0
1806_5411,1805971.2195,5411175.8316,0
1807_5411,1806971.2195,5411175.8316,0
1808_5411,1807971.2195,5411175.8316,0
1809_5411,1808971.2195,5411175.8316,0
1810_5411,1809971.2195,5411175.8316,0
1811_5411,1810971.2195,5411175.8316,0
1812_5411,1811971.2195,5411175.8316,0
1813_5411,1812971.2195,5411175.8316,0
1814_5411,1813971.2195,5411175.8316,0
1815_5411,1814971.2195,5411175.8316,0
1816_5411,1815971.2195,5411175.8316,0
1817_5411,1816971.2195,5411175.8316,0
1818_5411,1817971.2195,5411175.8316,0
1819_5411,1818971.2195,5411175.8316,0
1820_5411,1819971.2195,5411175.8316,0
1821_5411,1820971.2195,5411175.8316,0
1822_5411,1821971.2195,5411175.8316,0
1823_5411,1822971.2195,5411175.8316,0
1760_5412,1759971.2195,5412175.8316,0
1761_5412,1760971.2195,5412175.8316,0
1762_5412,1761971.2195,5412175.8316,0
1784_5412,1783971.2195,5412175.8316,0
1785_5412,1784971.2195,5412175.8316,0
1786_5412,1785971.2195,5412175.8316,0
1787_5412,1786971.2195,5412175.8316,0
1788_5412,1787971.2195,5412175.8316,0
1789_5412,1788971.2195,5412175.8316,0
1790_5412,1789971.2195,5412175.8316,0
1791_5412,1790971.2195,5412175.8316,0
1792_5412,1791971.2195,5412175.8316,0
1793_5412,1792971.2195,5412175.8316,0
1794_5412,1793971.2195,5412175.8316,0
1795_5412,1794971.2195,5412175.8316,0
1796_5412,1795971.2195,5412175.8316,0
1797_5412,1796971.2195,5412175.8316,0
1798_5412,1797971.2195,5412175.8316,0
1799_5412,1798971.2195,5412175.8316,0
1800_5412,1799971.2195,5412175.8316,0
1801_5412,1800971.2195,5412175.8316,0
1802_5412,1801971.2195,5412175.8316,0
1803_5412,1802971.2195,5412175.8316,0
1804_5412,1803971.2195,5412175.8316,0
1805_5412,1804971.2195,5412175.8316,0
1806_5412,1805971.2195,5412175.8316,0
1807_5412,1806971.2195,5412175.8316,0
1808_5412,1807971.2195,5412175.8316,0
1809_5412,1808971.2195,5412175.8316,0
1810_5412,1809971.2195,5412175.8316,0
1811_5412,1810971.2195,5412175.8316,0
1812_5412,1811971.2195,5412175.8316,0
1813_5412,1812971.2195,5412175.8316,0
1814_5412,1813971.2195,5412175.8316,0
1815_5412,1814971.2195,5412175.8316,0
1816_5412,1815971.2195,5412175.8316,0
1817_5412,1816971.2195,5412175.8316,0
1818_5412,1817971.2195,5412175.8316,0
1819_5412,1818971.2195,5412175.8316,0
1820_5412,1819971.2195,5412175.8316,0
1821_5412,1820971.2195,5412175.8316,0
1822_5412,1821971.2195,5412175.8316,0
1823_5412,1822971.2195,5412175.8316,0
1824_5412,1823971.2195,5412175.8316,0
1759_5413,1758971.2195,5413175.8316,0
1760_5413,1759971.2195,5413175.8316,0
1761_5413,1760971.2195,5413175.8316,0
1762_5413,1761971.2195,5413175.8316,0
1763_5413,1762971.2195,5413175.8316,0
1783_5413,1782971.2195,5413175.8316,0
1784_5413,1783971.2195,5413175.8316,0
1785_5413,1784971.2195,5413175.8316,0
1786_5413,1785971.2195,5413175.8316,0
1787_5413,1786971.2195,5413175.8316,0
1788_5413,1787971.2195,5413175.8316,0
1789_5413,1788971.2195,5413175.8316,0
1790_5413,1789971.2195,5413175.8316,0
1791_5413,1790971.2195,5413175.8316,0
1792_5413,1791971.2195,5413175.8316,0
1793_5413,1792971.2195,5413175.8316,0
1794_5413,1793971.2195,5413175.8316,0
1795_5413,1794971.2195,5413175.8316,0
1796_5413,1795971.2195,5413175.8316,0
1797_5413,1796971.2195,5413175.8316,0
1798_5413,1797971.2195,5413175.8316,0
1799_5413,1798971.2195,5413175.8316,0
1800_5413,1799971.2195,5413175.8316,0
1801_5413,1800971.2195,5413175.8316,0
1802_5413,1801971.2195,5413175.8316,0
1803_5413,1802971.2195,5413175.8316,0
1804_5413,1803971.2195,5413175.8316,0
1805_5413,1804971.2195,5413175.8316,0
1806_5413,1805971.2195,5413175.8316,0
1807_5413,1806971.2195,5413175.8316,0
1808_5413,1807971.2195,5413175.8316,0
1809_5413,1808971.2195,5413175.8316,0
1810_5413,1809971.2195,5413175.8316,0
1811_5413,1810971.2195,5413175.8316,0
1812_5413,1811971.2195,5413175.8316,0
1813_5413,1812971.2195,5413175.8316,0
1814_5413,1813971.2195,5413175.8316,0
1815_5413,1814971.2195,5413175.8316,0
1816_5413,1815971.2195,5413175.8316,0
1817_5413,1816971.2195,5413175.8316,0
1818_5413,1817971.2195,5413175.8316,0
1819_5413,1818971.2195,5413175.8316,0
1820_5413,1819971.2195,5413175.8316,0
1821_5413,1820971.2195,5413175.8316,0
1822_5413,1821971.2195,5413175.8316,0
1823_5413,1822971.2195,5413175.8316,0
1824_5413,1823971.2195,5413175.8316,0
1825_5413,1824971.2195,5413175.8316,0
1826_5413,1825971.2195,5413175.8316,0
1827_5413,1826971.2195,5413175.8316,0
1757_5414,1756971.2195,5414175.8316,0
1758_5414,1757971.2195,5414175.8316,0
1759_5414,1758971.2195,5414175.8316,0
1760_5414,1759971.2195,5414175.8316,0
1761_5414,1760971.2195,5414175.8316,0
1762_5414,1761971.2195,5414175.8316,0
1763_5414,1762971.2195,5414175.8316,0
1764_5414,1763971.2195,5414175.8316,0
1781_5414,1780971.2195,5414175.8316,0
1782_5414,1781971.2195,5414175.8316,0
1783_5414,1782971.2195,5414175.8316,0
1784_5414,1783971.2195,5414175.8316,0
1785_5414,1784971.2195,5414175.8316,0
1786_5414,1785971.2195,5414175.8316,0
1787_5414,1786971.2195,5414175.8316,0
1788_5414,1787971.2195,5414175.8316,0
1789_5414,1788971.2195,5414175.8316,0
1790_5414,1789971.2195,5414175.8316,0
1791_5414,1790971.2195,5414175.8316,0
1792_5414,1791971.2195,5414175.8316,0
1793_5414,1792971.2195,5414175.8316,0
1794_5414,1793971.2195,5414175.8316,0
1795_5414,1794971.2195,5414175.8316,0
